DATE,CONFIRMED,RECOVERED,DECEASED
14-Mar-20,0,0,0
15-Mar-20,0,0,0
16-Mar-20,1,0,0
17-Mar-20,0,0,0
18-Mar-20,1,0,0
19-Mar-20,0,0,0
20-Mar-20,0,0,0
21-Mar-20,0,0,0
22-Mar-20,0,0,0
23-Mar-20,0,0,0
24-Mar-20,0,0,0
25-Mar-20,0,0,0
26-Mar-20,1,0,0
27-Mar-20,0,0,0
28-Mar-20,0,0,0
29-Mar-20,0,0,0
30-Mar-20,0,0,0
31-Mar-20,1,0,0
01-Apr-20,1,1,0
02-Apr-20,0,0,0
03-Apr-20,15,1,0
04-Apr-20,1,0,0
05-Apr-20,18,0,0
06-Apr-20,1,0,0
07-Apr-20,2,0,1
08-Apr-20,0,0,0
09-Apr-20,6,0,0
10-Apr-20,2,10,0
11-Apr-20,4,0,0
12-Apr-20,0,0,0
13-Apr-20,1,6,0
14-Apr-20,5,0,0
15-Apr-20,0,1,0
16-Apr-20,0,0,0
17-Apr-20,0,2,0
18-Apr-20,1,3,0
19-Apr-20,0,0,0
20-Apr-20,13,0,0
21-Apr-20,5,6,0
22-Apr-20,4,2,0
23-Apr-20,6,1,0
24-Apr-20,5,0,0
25-Apr-20,6,1,0
26-Apr-20,3,1,0
27-Apr-20,15,2,0
28-Apr-20,0,1,0
29-Apr-20,7,1,0
30-Apr-20,18,2,0
01-May-20,11,14,0
02-May-20,6,1,0
03-May-20,2,4,0
04-May-20,7,0,0
05-May-20,8,0,1
06-May-20,28,1,0
07-May-20,14,1,0
08-May-20,51,1,0
09-May-20,82,5,1
10-May-20,25,0,0
11-May-20,38,17,0
12-May-20,22,31,0
13-May-20,101,27,0
14-May-20,134,15,0
15-May-20,65,8,0
16-May-20,0,30,0
17-May-20,91,24,1
18-May-20,48,57,0
19-May-20,102,30,1
20-May-20,74,36,1
21-May-20,51,50,1
22-May-20,86,43,0
23-May-20,80,61,0
24-May-20,67,53,0
25-May-20,102,99,0
26-May-20,79,84,0
27-May-20,76,79,0
28-May-20,67,75,0
29-May-20,63,90,2
30-May-20,96,73,0
31-May-20,129,76,0
01-Jun-20,156,119,0
02-Jun-20,141,80,0
03-Jun-20,143,91,0
04-Jun-20,90,65,0
05-Jun-20,130,123,1
06-Jun-20,173,112,0
07-Jun-20,75,178,1
08-Jun-20,138,99,0
09-Jun-20,146,140,0
10-Jun-20,110,149,0
11-Jun-20,136,72,1
12-Jun-20,112,120,1
13-Jun-20,225,120,0
14-Jun-20,186,114,1
15-Jun-20,146,146,0
16-Jun-20,108,120,0
17-Jun-20,175,73,0
18-Jun-20,174,97,0
19-Jun-20,165,153,0
20-Jun-20,179,237,1
21-Jun-20,304,186,4
22-Jun-20,143,143,2
23-Jun-20,167,125,3
24-Jun-20,282,135,0
25-Jun-20,210,168,0
26-Jun-20,218,131,0
27-Jun-20,170,184,1
28-Jun-20,264,137,3
29-Jun-20,245,203,2
30-Jun-20,206,243,2
01-Jul-20,251,164,1
02-Jul-20,229,149,2
03-Jul-20,561,203,2
04-Jul-20,495,229,6
05-Jul-20,469,290,3
06-Jul-20,456,262,2
07-Jul-20,571,217,6
08-Jul-20,527,303,7
09-Jul-20,577,401,6
10-Jul-20,755,565,6
11-Jul-20,570,388,6
12-Jul-20,595,390,5
13-Jul-20,616,505,7
14-Jul-20,543,609,5
15-Jul-20,618,612,5
16-Jul-20,494,401,2
17-Jul-20,718,453,6
18-Jul-20,591,607,3
19-Jul-20,736,516,7
20-Jul-20,673,457,6
21-Jul-20,647,400,8
22-Jul-20,1078,440,6
23-Jul-20,1264,643,6
24-Jul-20,1594,808,8
25-Jul-20,1320,728,10
26-Jul-20,1376,864,11
27-Jul-20,1503,581,7
28-Jul-20,1215,687,8
29-Jul-20,1068,878,6
30-Jul-20,1203,807,10
31-Jul-20,1499,772,9
01-Aug-20,1602,756,11
02-Aug-20,1434,681,11
03-Aug-20,1384,1119,12
04-Aug-20,1384,1409,10
05-Aug-20,1337,1255,11
06-Aug-20,1699,1150,11
07-Aug-20,1833,1810,12
08-Aug-20,1643,1544,15
09-Aug-20,1734,1543,14
10-Aug-20,1528,1236,16
11-Aug-20,1341,1785,12
12-Aug-20,1876,1673,9
13-Aug-20,1981,1422,9
14-Aug-20,1977,1305,10
15-Aug-20,2496,1521,9
16-Aug-20,2924,1550,10
17-Aug-20,2244,1503,10
18-Aug-20,2239,1535,9
19-Aug-20,2589,1621,10
20-Aug-20,2898,1641,8
21-Aug-20,2698,1927,10
22-Aug-20,2819,1773,9
23-Aug-20,2993,2129,10
24-Aug-20,2949,2519,10
25-Aug-20,2752,2545,9
26-Aug-20,3371,3343,13
27-Aug-20,3384,2510,7
28-Aug-20,3682,2503,8
29-Aug-20,3252,2888,14
30-Aug-20,3014,2519,12
31-Aug-20,2602,4053,10
01-Sep-20,3025,3484,11
02-Sep-20,3219,3303,11
03-Sep-20,3631,3278,8
04-Sep-20,3267,2980,9
05-Sep-20,3543,3443,7
06-Sep-20,3810,2590,8
07-Sep-20,3861,3034,10
08-Sep-20,3490,2787,13
09-Sep-20,3748,3110,11
10-Sep-20,3991,2706,11
11-Sep-20,3996,4061,14
12-Sep-20,3777,3217,11
13-Sep-20,3913,3363,10
14-Sep-20,4198,3382,11
15-Sep-20,3645,3714,8
16-Sep-20,4270,4121,11
17-Sep-20,4241,3607,13
18-Sep-20,4180,4101,13
19-Sep-20,4209,4090,9
20-Sep-20,4330,4018,10
21-Sep-20,4242,3704,9
22-Sep-20,4189,3834,11
23-Sep-20,4237,4052,15
24-Sep-20,4340,3779,16
25-Sep-20,4208,4388,15
26-Sep-20,4356,4761,16
27-Sep-20,3922,3378,14
28-Sep-20,3235,4014,16
29-Sep-20,3067,3896,15
30-Sep-20,3443,4219,14
01-Oct-20,3615,4380,17
02-Oct-20,3600,4048,16
03-Oct-20,3053,4066,17
04-Oct-20,3326,4108,15
05-Oct-20,2617,4098,17
06-Oct-20,2673,3817,16
07-Oct-20,2995,3455,18
08-Oct-20,3144,3312,16
09-Oct-20,2697,3404,17
10-Oct-20,2854,3885,15
11-Oct-20,2546,3342,16
12-Oct-20,2423,2577,18
13-Oct-20,2275,2796,17
14-Oct-20,2604,2775,15
15-Oct-20,2470,2772,17
16-Oct-20,2138,2850,15
17-Oct-20,2196,2842,17
18-Oct-20,2019,2610,14
19-Oct-20,1982,2738,17
20-Oct-20,1904,2622,16
21-Oct-20,1931,2716,13
22-Oct-20,1913,2128,15
23-Oct-20,1793,2377,18
24-Oct-20,1695,2613,15
25-Oct-20,1633,2071,16
26-Oct-20,1480,2003,14
27-Oct-20,1247,2010,13
28-Oct-20,1540,2015,12
29-Oct-20,1617,1908,13
30-Oct-20,1547,1800,11
31-Oct-20,1470,1911,12
01-Nov-20,1709,1815,11
02-Nov-20,1389,1527,9
03-Nov-20,1201,1462,12
04-Nov-20,1474,1520,12
05-Nov-20,1385,1460,14
06-Nov-20,1494,1641,15
07-Nov-20,1372,1683,17
08-Nov-20,1434,1311,15
09-Nov-20,1219,1521,16
10-Nov-20,987,1448,13
11-Nov-20,1220,1340,15
12-Nov-20,986,1264,14
13-Nov-20,1018,1504,12
14-Nov-20,902,1271,15
15-Nov-20,753,1346,17
16-Nov-20,749,1297,16
17-Nov-20,644,1315,17
18-Nov-20,868,1303,15
19-Nov-20,868,1019,17
20-Nov-20,757,1101,16
21-Nov-20,778,1011,17
22-Nov-20,638,905,15
23-Nov-20,668,913,17
24-Nov-20,642,648,14
25-Nov-20,730,728,16
26-Nov-20,644,737,17
27-Nov-20,594,908,14
28-Nov-20,550,802,12
29-Nov-20,518,707,4
30-Nov-20,418,809,5
01-Dec-20,378,669,5
02-Dec-20,480,660,6
03-Dec-20,434,629,5
04-Dec-20,377,642,5
05-Dec-20,409,605,5
06-Dec-20,393,570,6
07-Dec-20,368,607,7
08-Dec-20,349,523,6
09-Dec-20,386,442,5
10-Dec-20,343,458,5
11-Dec-20,387,408,4
12-Dec-20,335,405,4
13-Dec-20,393,386,5
14-Dec-20,332,389,4
15-Dec-20,300,392,4
16-Dec-20,407,358,5
17-Dec-20,351,376,5
18-Dec-20,358,363,4
19-Dec-20,356,362,3
20-Dec-20,372,338,4
21-Dec-20,363,309,3
22-Dec-20,319,388,4
23-Dec-20,364,304,3
24-Dec-20,263,324,4
25-Dec-20,325,406,3
26-Dec-20,334,371,4
27-Dec-20,303,319,4
28-Dec-20,234,324,3
29-Dec-20,263,383,4
30-Dec-20,305,328,3
31-Dec-20,315,329,2
01-Jan-21,245,301,3
02-Jan-21,251,232,4
03-Jan-21,192,244,3
04-Jan-21,183,298,2
05-Jan-21,198,271,2
06-Jan-21,231,230,0
07-Jan-21,230,282,1
08-Jan-21,245,244,2
09-Jan-21,206,269,1
10-Jan-21,260,240,0
11-Jan-21,244,228,1
12-Jan-21,225,181,2
13-Jan-21,210,170,1
14-Jan-21,222,210,1
15-Jan-21,186,256,2
16-Jan-21,178,230,1
17-Jan-21,183,228,1
18-Jan-21,134,255,1
19-Jan-21,122,250,1
20-Jan-21,157,270,0
21-Jan-21,143,224,1
22-Jan-21,154,212,0
23-Jan-21,130,205,1
24-Jan-21,150,182,1
25-Jan-21,130,140,1
26-Jan-21,99,143,0
27-Jan-21,138,108,0
28-Jan-21,113,132,0
29-Jan-21,70,157,0
30-Jan-21,108,138,0
31-Jan-21,114,141,0
01-Feb-21,79,136,0
02-Feb-21,60,138,0
03-Feb-21,71,122,0
04-Feb-21,87,112,1
05-Feb-21,97,122,1
06-Feb-21,82,109,1
07-Feb-21,72,106,0
08-Feb-21,72,83,1
09-Feb-21,105,108,0
10-Feb-21,92,81,0
11-Feb-21,95,60,0
12-Feb-21,58,71,0
13-Feb-21,59,100,0
14-Feb-21,73,103,0
15-Feb-21,88,83,1
16-Feb-21,60,63,1
17-Feb-21,75,88,0
18-Feb-21,63,100,1
19-Feb-21,53,92,1
20-Feb-21,65,73,0
21-Feb-21,58,54,0
22-Feb-21,69,59,0
23-Feb-21,62,77,0
24-Feb-21,68,90,0
25-Feb-21,89,67,1
26-Feb-21,94,63,0
27-Feb-21,86,56,0
28-Feb-21,87,52,1
01-Mar-21,86,76,0
02-Mar-21,74,56,1
03-Mar-21,97,64,0
04-Mar-21,81,71,0
05-Mar-21,91,64,0
06-Mar-21,54,88,0
07-Mar-21,70,90,0
08-Mar-21,59,88,0
09-Mar-21,57,82,0
10-Mar-21,69,72,0
11-Mar-21,63,86,0
12-Mar-21,64,91,1
13-Mar-21,65,70,0
14-Mar-21,71,91,0
15-Mar-21,66,70,0
16-Mar-21,65,66,0
17-Mar-21,82,61,0
18-Mar-21,84,66,0
19-Mar-21,110,71,0
20-Mar-21,120,72,0
21-Mar-21,98,58,1
22-Mar-21,146,82,0
23-Mar-21,113,60,0
24-Mar-21,170,71,0
25-Mar-21,214,72,0
26-Mar-21,234,73,0
27-Mar-21,210,89,1
28-Mar-21,290,120,0
29-Mar-21,208,118,1
30-Mar-21,218,121,0
31-Mar-21,297,161,0
01-Apr-21,394,121,
